court,date,case
LG Düsseldorf,5.5.2020,"2 O 106/14"
LG Düsseldorf,30.3.2017,2 O 142/08
LG Düsseldorf,26.3.2015,4b O 140/13
LG Düsseldorf,19.1.2016,"4b O 122/14"
LG Düsseldorf,30.11.2006,"4b O 4/17"
LG Düsseldorf,12.12.2018,"4b O 16/17"
LG Düsseldorf,11.9.2008,4b O 78/07
LG Düsseldorf,30.11.2006,4b O 508/05
LG Düsseldorf,11.7.2018,4c O 81/17
LG Düsseldorf,9.11.2018,"4a O 17/17"
LG Düsseldorf,30.3.2017,4a O 93/14
LG Düsseldorf,13.7.2017,"4b O 58/05"
LG Düsseldorf,8.1.2016,4c O 81/17
LG Düsseldorf,1.7.2016,7 O 238/15
LG Düsseldorf,13.7.2017,"4a O 27/16"
LG Düsseldorf,12.12.2018,"7 O 19/16"
LG Düsseldorf,9.11.2018,4a O124/05
LG Düsseldorf,12.12.2018,4b O 17/17
LG Düsseldorf,29.3.2012,4 O 297/97
LG Düsseldorf,9.11.2018,4a O 17/17
LG Düsseldorf,30.3.2017,2 O 242/05
LG Düsseldorf,30.3.2017,4a O 7/09
LG Düsseldorf,13.7.2017,7 O 23/14
LG Düsseldorf,31.3.2016,4b O 274/10
LG Düsseldorf,3.11.2015,"2 O 106/14"
LG Mannheim,7.6.2011,4b O 31/10
LG Düsseldorf,13.7.2017,4 O 357/93
LG Düsseldorf,9.11.2017,14d O 13/17
LG Düsseldorf,18.7.2017,4b O 199/04
LG Düsseldorf,7.11.2013,4a O 4/08
